	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	0.000000	0.000000	0.000000	0.000000	0.000000	0.637263	0.199997	0.929310	
sViP	0.000000	0.000000	0.000000	0.000000	0.000000	0.637263	0.199997	0.929310	
IFIH1	0.000000	0.000000	0.000000	0.000000	0.000000	0.978584	0.068580	0.519729	
anti_MDA5ILD_PBMC_36309526	0.000000	0.000000	0.000000	0.000000	0.000000	0.113513	0.514224	0.388632	
Anti_Muscle_IFN_31434690	0.000000	0.000000	0.000000	0.000000	0.000000	0.099763	0.495662	0.220079	
IPF52_28942086	0.637263	0.637263	0.978584	0.113513	0.099763	0.000000	0.286492	0.013961	
IPF11Yang_22761659	0.199997	0.199997	0.068580	0.514224	0.495662	0.286492	0.000000	0.794141	
HP_34183448	0.929310	0.929310	0.519729	0.388632	0.220079	0.013961	0.794141	0.000000	
