	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	1.000000	1.000000	0.940199	0.874901	0.893690	0.105897	0.240013	0.713820	
sViP	1.000000	1.000000	0.940199	0.874901	0.893690	0.105897	0.240013	0.713820	
IFIH1	0.940199	0.940199	1.000000	0.892045	0.911464	0.037322	0.268314	0.612388	
anti_MDA5ILD_PBMC_36309526	0.874901	0.874901	0.892045	1.000000	0.969072	0.042508	0.305151	0.459506	
Anti_Muscle_IFN_31434690	0.893690	0.893690	0.911464	0.969072	1.000000	0.080037	0.204460	0.415665	
IPF52_28942086	0.105897	0.105897	0.037322	0.042508	0.080037	1.000000	0.046951	0.038428	
IPF11Yang_22761659	0.240013	0.240013	0.268314	0.305151	0.204460	0.046951	1.000000	0.381330	
HP_34183448	0.713820	0.713820	0.612388	0.459506	0.415665	0.038428	0.381330	1.000000	
