	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	0.000000	0.000000	0.000000	0.000000	0.000000	0.003452	0.342514	0.000038	
sViP	0.000000	0.000000	0.000000	0.000000	0.000000	0.003452	0.342514	0.000038	
IFIH1	0.000000	0.000000	0.000000	0.000000	0.000000	0.002353	0.921821	0.001210	
anti_MDA5ILD_PBMC_36309526	0.000000	0.000000	0.000000	0.000000	0.000000	0.023273	0.898577	0.224395	
Anti_Muscle_IFN_31434690	0.000000	0.000000	0.000000	0.000000	0.000000	0.007439	0.575796	0.390062	
IPF52_28942086	0.003452	0.003452	0.002353	0.023273	0.007439	0.000000	0.473118	0.981165	
IPF11Yang_22761659	0.342514	0.342514	0.921821	0.898577	0.575796	0.473118	0.000000	0.000971	
HP_34183448	0.000038	0.000038	0.001210	0.224395	0.390062	0.981165	0.000971	0.000000	
