	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	0.000000	0.000000	0.081096	0.001321	0.000436	0.236147	0.452854	0.301374	
sViP	0.000000	0.000000	0.081096	0.001321	0.000436	0.236147	0.452854	0.301374	
IFIH1	0.081096	0.081096	0.000000	0.332043	0.273110	0.068349	0.983294	0.205520	
anti_MDA5ILD_PBMC_36309526	0.001321	0.001321	0.332043	0.000000	0.000032	0.450823	0.970954	0.107264	
Anti_Muscle_IFN_31434690	0.000436	0.000436	0.273110	0.000032	0.000000	0.220355	0.860546	0.071123	
IPF52_28942086	0.236147	0.236147	0.068349	0.450823	0.220355	0.000000	0.872102	0.171475	
IPF11Yang_22761659	0.452854	0.452854	0.983294	0.970954	0.860546	0.872102	0.000000	0.571209	
HP_34183448	0.301374	0.301374	0.205520	0.107264	0.071123	0.171475	0.571209	0.000000	
