	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	0.000000	0.000000	0.000000	0.000000	0.000000	0.397409	0.052247	0.000000	
sViP	0.000000	0.000000	0.000000	0.000000	0.000000	0.397409	0.052247	0.000000	
IFIH1	0.000000	0.000000	0.000000	0.000000	0.000000	0.766070	0.029387	0.000000	
anti_MDA5ILD_PBMC_36309526	0.000000	0.000000	0.000000	0.000000	0.000000	0.734693	0.012723	0.000104	
Anti_Muscle_IFN_31434690	0.000000	0.000000	0.000000	0.000000	0.000000	0.522936	0.099610	0.000519	
IPF52_28942086	0.397409	0.397409	0.766070	0.734693	0.522936	0.000000	0.708144	0.759349	
IPF11Yang_22761659	0.052247	0.052247	0.029387	0.012723	0.099610	0.708144	0.000000	0.001583	
HP_34183448	0.000000	0.000000	0.000000	0.000104	0.000519	0.759349	0.001583	0.000000	
