	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	1.000000	1.000000	0.892630	0.889430	0.836528	0.494530	-0.014048	-0.015600	
sViP	1.000000	1.000000	0.892630	0.889430	0.836528	0.494530	-0.014048	-0.015600	
IFIH1	0.892630	0.892630	1.000000	0.742933	0.677279	0.325526	0.169163	0.127170	
anti_MDA5ILD_PBMC_36309526	0.889430	0.889430	0.742933	1.000000	0.985455	0.659259	-0.249646	-0.311178	
Anti_Muscle_IFN_31434690	0.836528	0.836528	0.677279	0.985455	1.000000	0.692521	-0.255691	-0.404125	
IPF52_28942086	0.494530	0.494530	0.325526	0.659259	0.692521	1.000000	-0.273799	-0.502348	
IPF11Yang_22761659	-0.014048	-0.014048	0.169163	-0.249646	-0.255691	-0.273799	1.000000	0.003790	
HP_34183448	-0.015600	-0.015600	0.127170	-0.311178	-0.404125	-0.502348	0.003790	1.000000	
