	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	0.000000	0.000000	0.000510	0.000571	0.002552	0.146216	0.969276	0.965883	
sViP	0.000000	0.000000	0.000510	0.000571	0.002552	0.146216	0.969276	0.965883	
IFIH1	0.000510	0.000510	0.000000	0.013820	0.031435	0.358694	0.640365	0.726271	
anti_MDA5ILD_PBMC_36309526	0.000571	0.000571	0.013820	0.000000	0.000000	0.038118	0.486680	0.381470	
Anti_Muscle_IFN_31434690	0.002552	0.002552	0.031435	0.000000	0.000000	0.026444	0.475831	0.246756	
IPF52_28942086	0.146216	0.146216	0.358694	0.038118	0.026444	0.000000	0.443980	0.138957	
IPF11Yang_22761659	0.969276	0.969276	0.640365	0.486680	0.475831	0.443980	0.000000	0.991710	
HP_34183448	0.965883	0.965883	0.726271	0.381470	0.246756	0.138957	0.991710	0.000000	
