	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	1.000000	1.000000	0.547768	0.836716	0.873968	-0.389679	0.253018	-0.343260	
sViP	1.000000	1.000000	0.547768	0.836716	0.873968	-0.389679	0.253018	-0.343260	
IFIH1	0.547768	0.547768	1.000000	0.323367	0.362599	-0.567950	-0.007176	-0.414046	
anti_MDA5ILD_PBMC_36309526	0.836716	0.836716	0.323367	1.000000	0.930599	-0.254119	-0.012478	-0.512149	
Anti_Muscle_IFN_31434690	0.873968	0.873968	0.362599	0.930599	1.000000	-0.401994	-0.060151	-0.563356	
IPF52_28942086	-0.389679	-0.389679	-0.567950	-0.254119	-0.401994	1.000000	-0.055129	0.443836	
IPF11Yang_22761659	0.253018	0.253018	-0.007176	-0.012478	-0.060151	-0.055129	1.000000	0.192233	
HP_34183448	-0.343260	-0.343260	-0.414046	-0.512149	-0.563356	0.443836	0.192233	1.000000	
