	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
ViP	1.000000	1.000000	0.910153	0.933076	0.926595	0.074917	0.201797	-0.014114	
sViP	1.000000	1.000000	0.910153	0.933076	0.926595	0.074917	0.201797	-0.014114	
IFIH1	0.910153	0.910153	1.000000	0.877129	0.869727	-0.004271	0.283770	-0.102157	
anti_MDA5ILD_PBMC_36309526	0.933076	0.933076	0.877129	1.000000	0.981634	0.247852	0.103501	-0.136521	
Anti_Muscle_IFN_31434690	0.926595	0.926595	0.869727	0.981634	1.000000	0.257452	0.108085	-0.193267	
IPF52_28942086	0.074917	0.074917	-0.004271	0.247852	0.257452	1.000000	-0.168367	-0.376601	
IPF11Yang_22761659	0.201797	0.201797	0.283770	0.103501	0.108085	-0.168367	1.000000	0.041498	
HP_34183448	-0.014114	-0.014114	-0.102157	-0.136521	-0.193267	-0.376601	0.041498	1.000000	
