	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
GSM4753071	-186.573233	-186.573233	-0.039229	-1.584046	-1.953888	-0.690628	0.955189	-24.982440
GSM4753072	-151.413707	-151.413707	0.591085	5.087903	5.367035	0.818927	-4.743776	-29.382403
GSM4753073	-160.262145	-160.262145	0.446264	3.078463	2.048831	-1.892726	0.830853	-21.594565
GSM4753074	-181.197998	-181.197998	0.039108	2.044606	2.174730	0.844137	-0.519792	-27.739184
GSM4753075	-155.356506	-155.356506	0.490134	5.265073	3.146466	-1.169856	-0.776208	-27.941737
GSM4753076	-183.081765	-183.081765	0.012764	-1.542762	-3.433797	-3.547160	1.100033	-19.786870
GSM4753077	-240.122226	-240.122226	-0.535759	-2.882271	-4.264696	-3.386211	-1.189751	-31.871173
GSM4753078	-179.563096	-179.563096	0.253379	0.644590	0.190829	-3.575875	-2.358176	-23.582586
GSM4753079	-209.551666	-209.551666	-0.221752	-3.338632	-3.964936	-3.834789	0.432425	-25.116702
GSM4753080	-162.697979	-162.697979	0.243709	1.265896	0.484145	-1.859680	-1.378503	-20.226706
GSM4753081	-166.924690	-166.924690	0.228632	2.962258	2.447820	0.337299	0.473239	-27.802438
GSM4753082	-153.416163	-153.416163	0.426714	4.377823	3.277208	0.082459	-1.125830	-23.994242
GSM4753083	-202.203235	-202.203235	0.007008	-3.694555	-3.501609	0.219934	-1.778566	-29.714563
GSM4753084	-155.670059	-155.670059	0.420762	4.333611	2.933374	0.070469	-2.008790	-24.765039
GSM4753085	-148.300036	-148.300036	0.366202	6.360798	4.534227	-2.317700	-1.382058	-27.903722
GSM4753086	-217.170089	-217.170089	-0.323648	-2.248295	-3.844289	-0.499776	-1.168967	-29.417171
GSM4753087	-244.471802	-244.471802	-0.617280	-4.816872	-6.282333	-0.637689	2.111511	-33.831236
GSM4753088	-155.272003	-155.272003	0.300585	1.625118	-0.010686	-1.854361	-0.664761	-20.503731
GSM4753089	-121.469496	-121.469496	0.640211	6.864609	5.432733	-0.405082	-3.060359	-21.632014
GSM4753090	-203.035514	-203.035514	-0.285455	-1.810044	-1.844407	1.175668	1.858170	-27.079485
GSM4753091	-163.201570	-163.201570	0.090804	3.161279	1.580977	-3.999318	-1.814964	-27.725896
GSM4753092	-119.976816	-119.976816	0.666398	6.320928	4.246079	-2.279044	-2.527789	-18.905933
GSM4753093	-209.574014	-209.574014	-0.123797	-3.031362	-4.334447	-0.429781	1.671594	-27.390903
GSM4753094	-147.378604	-147.378604	0.586015	5.103129	3.953899	-0.011195	-3.265257	-24.411712
GSM4753095	-253.660321	-253.660321	-0.729393	-9.771501	-9.466897	1.846386	-3.763250	-30.347232
GSM4753096	-172.441704	-172.441704	0.205827	1.061688	2.452212	0.941237	-2.725841	-28.178343
GSM4753097	-186.915694	-186.915694	0.013651	-4.367411	-3.839250	1.299982	-4.541891	-25.459173
GSM4753098	-207.760495	-207.760495	-0.157717	-6.818457	-5.743622	-2.273956	-2.265286	-25.393329
GSM4753099	-150.993680	-150.993680	0.466411	6.789089	6.021674	0.045581	-0.994591	-30.502170
GSM4753100	-208.204158	-208.204158	-0.162578	-3.787801	-3.707056	-2.327860	-3.896881	-25.859877
GSM4753101	-147.951616	-147.951616	0.421597	6.345285	4.267894	-0.094844	-0.105487	-26.191063
GSM4753102	-195.566951	-195.566951	-0.069693	-1.232931	-0.457775	0.256715	-1.810250	-29.157140
GSM4753103	-230.996194	-230.996194	-0.385504	-5.191388	-4.390659	-2.079509	-5.955763	-32.139243
GSM4753104	-175.386664	-175.386664	0.141329	1.683383	-0.107720	-1.881472	-1.233939	-25.656804
GSM4753105	-192.978712	-192.978712	-0.012782	-1.738408	-2.612365	-2.052308	0.417364	-22.966598
GSM4753106	-206.672215	-206.672215	-0.059022	-3.694744	-3.835500	-1.079081	-2.723860	-28.329504
GSM4753107	-214.668894	-214.668894	-0.297608	-3.030719	-4.955552	-0.786773	-0.568545	-24.272615
GSM4753108	-221.681486	-221.681486	-0.336569	-5.340166	-5.347900	-3.968106	-2.242482	-27.813931
GSM4753109	-209.085023	-209.085023	-0.011826	-2.148484	-2.910484	0.232222	1.079527	-29.653080
GSM4753110	-201.953840	-201.953840	-0.229706	-0.620353	-2.656178	0.272739	-3.671020	-26.489496
